CRM_name,Elements,Lot,Producer,Description,Presentation,URL
SRM 981,lead,March 1991,NIST,Common Lead Isotopic Standard,High purity lead wire,https://shop.nist.gov/ccrz__ProductDetails?sku=981&cclcl=en_US
SRM 982,lead,December 2004,NIST,Equal-Atom Lead Isotopic Standard,High purity lead wire,https://shop.nist.gov/ccrz__ProductDetails?sku=982&cclcl=en_US
SRM 983,lead,December 2004,NIST,Radiogenic Lead Isotopic Standard,High purity lead wire,https://shop.nist.gov/ccrz__ProductDetails?sku=983&cclcl=en_US
ALED-1,lead,March 2021,NRC,Lead-206 and lead-207 double spike isotopic standard,Lead solution at 250 mg/kg in 2% nitric acid,https://doi.org/10.4224/crm.2021.aled-1
BLED-1,lead,March 2021,NRC,Lead-204 and lead-207 double spike isotopic standard,Lead solution at 100 mg/kg in 2% nitric acid,https://doi.org/10.4224/crm.2021.bled-1
CLED-1,lead,March 2021,NRC,Lead-206 and lead-208 double spike isotopic standard,Lead solution at 100 mg/kg in 2% nitric acid,https://doi.org/10.4224/crm.2021.cled-1
ELED-1,lead,March 2021,NRC,Equal atom lead isotopic standard,Lead solution at 100 mg/kg in 2% nitric acid,https://doi.org/10.4224/crm.2021.eled-1
HIPB-1,lead,April 2020,NRC,High purity lead,High purity lead wire,https://doi.org/10.4224/crm.2020.hipb-1
UCLO-1,uranium,August 2020,NRC,Natural Uranium Ore Concentrate (U3O8),Powder natural uranium ore concentrate,https://doi.org/10.4224/crm.2020.uclo-1
UCHI-1,uranium,August 2020,NRC,Natural Uranium Ore Concentrate (U3O8),Powder natural uranium ore concentrate,https://doi.org/10.4224/crm.2020.uchi-1
UPER-1,uranium,August 2020,NRC,Natural Uranium Ore Concentrate (UO4),Powder natural uranium ore concentrate,https://doi.org/10.4224/crm.2020.uper-1 
BAM-I012 ,cadmium,02/01/15,BAM,Cadmium in dilute nitric acid,Solution of high purity cadmium with natural-like isotopic composition in 1mol/L niotric acid,https://rrr.bam.de/RRR/Content/EN/Downloads/RM-Certificates/RM-cert-isotopic-materials/bam_i012e.html
